height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,age_y,position,short_pos,fee,window,league,season
183,75,Italy,73,77,Right,1,3,2,2024.0,65,58,64,77,60,75,64,58,75,77,67,63,65,72,67,70,56,64,59,67,68,72,69,73,64,66,76,69,63,12,6,15,8,8,26.0,Defensive Midfield,DM,2000000.0,summer,Serie A,2021
193,90,Russia,73,77,Right,1,3,2,,56,74,72,62,58,66,52,54,48,72,72,74,62,73,65,75,61,69,88,64,63,48,77,64,67,68,69,42,36,7,14,9,14,9,26.0,Centre-Forward,CF,5000000.0,summer,Premier Liga,2021
172,65,France,73,77,Left,1,3,3,2022.0,70,72,63,75,73,79,77,66,65,78,78,73,85,73,82,73,75,69,60,70,69,31,76,73,68,71,40,42,43,7,10,9,13,12,25.0,Right Winger,RW,1500000.0,summer,Ligue 1,2021
188,82,Netherlands,73,76,Left,1,4,3,2022.0,44,46,76,73,43,63,68,72,70,68,38,47,59,70,56,76,54,65,77,64,76,72,41,66,60,77,75,77,75,11,14,6,9,9,28.0,Centre-Back,CB,3000000.0,summer,Serie A,2021
188,82,Netherlands,73,76,Left,1,4,3,2022.0,44,46,76,73,43,63,68,72,70,68,38,47,59,70,56,76,54,65,77,64,76,72,41,66,60,77,75,77,75,11,14,6,9,9,28.0,Centre-Back,CB,3000000.0,summer,Super Lig,2021
190,83,Netherlands,73,76,Right,1,3,2,2023.0,41,42,80,69,26,49,33,31,68,54,34,42,32,64,38,73,83,72,86,31,64,70,40,37,40,62,72,75,70,7,11,15,10,15,28.0,Centre-Back,CB,1000000.0,summer,Eredivisie,2021
187,74,Italy,73,76,Left,1,3,1,2021.0,17,20,30,36,19,12,17,19,42,23,31,33,22,66,32,56,58,34,42,11,12,11,11,38,22,53,67,21,20,72,72,75,73,73,30.0,Goalkeeper,GK,1800000.0,summer,Super League 1,2021
182,73,Germany,73,76,Right,2,4,3,2021.0,75,39,49,70,41,68,39,32,63,71,87,86,73,67,70,49,80,72,65,38,62,68,56,48,39,58,67,72,71,10,13,10,11,12,26.0,Right-Back,RB,4500000.0,summer,Ger Bundesliga,2021
182,73,Germany,73,76,Right,2,4,3,2021.0,75,39,49,70,41,68,39,32,63,71,87,86,73,67,70,49,80,72,65,38,62,68,56,48,39,58,67,72,71,10,13,10,11,12,26.0,Right-Back,RB,3500000.0,summer,Serie A,2021
179,76,Slovenia,73,76,Right,1,3,4,2021.0,69,68,60,76,69,72,72,72,74,74,68,71,74,70,74,74,65,59,58,70,52,40,75,74,67,74,31,55,53,14,6,13,11,5,26.0,Central Midfield,CM,5000000.0,summer,Super Lig,2021
188,80,Belgium,73,75,Left,1,3,2,2023.0,32,38,78,63,22,39,49,71,61,53,44,58,64,71,58,72,62,76,78,52,73,77,34,43,35,73,67,74,71,9,16,12,7,13,29.0,Centre-Back,CB,2500000.0,summer,Jupiler Pro League,2021
185,83,Argentina,73,75,Right,1,3,2,2021.0,45,35,74,64,27,56,32,34,55,62,47,58,53,67,55,50,83,71,83,33,78,75,34,44,44,65,10,71,70,7,9,7,14,16,27.0,Centre-Back,CB,1800000.0,summer,Eredivisie,2021
185,83,Argentina,73,75,Right,1,3,2,2021.0,45,35,74,64,27,56,32,34,55,62,47,58,53,67,55,50,83,71,83,33,78,75,34,44,44,65,10,71,70,7,9,7,14,16,27.0,Centre-Back,CB,1800000.0,summer,Jupiler Pro League,2021
189,83,Turkey,73,75,Right,1,3,3,2021.0,69,75,68,72,60,79,45,28,62,75,70,72,73,71,67,74,78,69,70,70,64,22,73,64,56,57,26,24,18,6,12,13,8,15,27.0,Right Winger,RW,1400000.0,summer,Super Lig,2021
175,65,Turkey,73,73,Right,1,4,3,2022.0,71,70,56,71,49,74,75,60,62,72,81,80,80,72,79,73,59,66,56,62,33,35,75,70,52,70,29,54,32,9,10,6,13,15,30.0,Left Winger,LW,2000000.0,winter,Super Lig,2021
175,65,Turkey,73,73,Right,1,4,3,2022.0,71,70,56,71,49,74,75,60,62,72,81,80,80,72,79,73,59,66,56,62,33,35,75,70,52,70,29,54,32,9,10,6,13,15,29.0,Left Winger,LW,2000000.0,summer,Super Lig,2021
171,66,Nigeria,73,73,Right,2,3,3,2022.0,66,65,60,65,65,74,60,48,57,69,95,92,87,69,86,69,74,82,50,66,33,24,68,65,66,66,19,28,24,7,12,13,15,14,28.0,Left Winger,LW,1300000.0,summer,Super Lig,2021
181,73,France,73,73,Right,2,4,3,2022.0,77,67,52,77,68,76,76,76,76,77,66,66,74,68,69,74,54,53,62,74,58,35,74,74,70,70,79,34,26,9,13,10,11,8,29.0,Attacking Midfield,AM,1300000.0,summer,Super Lig,2021
