height_cm,weight_kg,nationality_x,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,contract_valid_until,age_y,position,short_pos,fee,window,league,season,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
188,77,Italy,61,68,Right,1,2,2,2021,23,Central Midfield,CM,20500000,summer,Serie A,2017,34,43,44,64,33,65,33,39,61,67,64,65,57,54,60,54,55,65,55,58,55,56,58,50,41,43,36,54,44,12,6,8,7,9
190,85,Slovenia,61,65,Right,1,3,2,2019,27,Centre-Back,CB,8000000,summer,Premier Liga,2017,50,34,55,63,31,50,42,42,59,55,56,52,57,49,52,47,61,52,81,32,59,50,35,46,47,47,61,62,63,9,12,12,14,13
187,72,Mali,60,80,Right,1,2,2,2019,19,Centre-Back,CB,1800000,summer,Super Lig,2017,34,23,60,38,35,34,35,29,27,35,57,63,43,53,48,40,70,60,83,23,49,53,31,31,45,43,49,69,62,13,12,13,14,6
175,71,Wales,60,77,Right,1,4,2,2016,22,Right-Back,RB,8000000,winter,Premier League,2017,59,32,51,54,14,55,34,18,49,55,70,70,71,50,70,36,59,65,55,19,58,58,44,42,41,44,56,60,59,6,12,8,12,13
180,75,Senegal,60,77,Right,1,2,3,2021,19,Right Winger,RW,17000000,summer,Ligue 1,2017,47,58,41,50,54,64,52,47,44,62,83,82,78,48,74,68,45,46,57,54,38,24,50,52,58,47,24,25,36,14,13,7,6,9
189,79,France,60,76,Right,1,3,3,2018,19,Centre-Forward,CF,40000000,summer,Ligue 1,2017,30,60,68,49,41,65,35,25,33,55,71,74,71,46,48,47,62,54,82,42,52,21,59,52,60,49,26,23,18,11,13,14,9,15
187,76,Germany,60,75,Right,1,4,2,2019,19,Left Winger,LW,2800000,summer,Ger Bundesliga,2017,42,61,67,52,41,55,47,37,37,60,55,63,55,63,54,62,64,51,66,54,37,15,54,53,70,53,14,19,16,12,9,13,6,8
188,76,Austria,60,75,Left,1,3,2,2019,19,Centre-Back,CB,7500000,summer,Eredivisie,2017,33,25,62,54,31,40,27,31,52,45,54,61,52,47,53,42,64,62,71,26,58,58,43,42,42,47,56,61,57,13,13,14,14,8
174,70,Mali,60,73,Right,1,3,2,2018,22,Left-Back,LB,1500000,winter,Ligue 1,2017,50,30,47,56,28,65,47,40,40,60,73,74,68,62,73,36,56,65,59,34,64,54,50,39,43,41,55,61,60,14,14,10,14,9
180,71,Turkey,60,72,Right,1,2,2,2018,22,Central Midfield,CM,2000000,summer,Super Lig,2017,57,41,51,65,39,60,48,43,60,58,60,60,58,56,66,57,61,64,64,38,58,49,62,63,55,40,54,56,43,14,8,11,10,7
